State Name,FIPS Code,County Name,Total Non-Elderly Population (Excluding Undocumented),Uninsured Population (Excluding Undocumented),Percent Uninsured,HIU Income < 100% FPL,HIU Income 100-138% FPL,HIU Income 139-249% FPL,HIU Income 250-400% FPL,HIU Income 400% FPL,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,Married,Child in Family,Spanish/Hispanic/Latino Origin,White Non-Latino,Black Non-Latino,Asian / Native-Hawaiian / Pac Islander,American Indian / Alaska Native,Multi-racial or Other,SNAP Recipient,With a disability,Full-time Worker in Family,Employed in Agriculture Industry,Employed in Mining/Construction Industry,Employed in Manufacturing Industry,Employed in Trade Industry,Employed in Info/Finance Industry,Employed in Education/Health Industry,Employed in Entertainment Industry,Employed in Service Industry,Employed in Military/Public Industry,Less than High School,High School Diploma,College Grad,No English Speaking Adults in HH,English Spoken in HH,Spanish Spoken in HH,Chinese Spoken in HH,Korean Spoken in HH,Vietnamese Spoken in HH,Tagalog Spoken in HH,Russian Spoken in HH,Other Language Spoken in HH
Alabama,01001,Autauga AL,"14,700","2,300",16%,"2,300",**,**,**,**,100,700,"1,000",500,"1,700",600,200,400,100,"1,000","1,200",**,**,0,400,600,700,**,**,300,300,**,**,200,100,100,600,"1,600",100,**,"2,300",**,**,**,**,**,**,**
Alabama,01003,Baldwin AL,"46,400","7,600",16%,"7,000",**,**,**,**,600,"3,200","1,900","1,800","4,500","3,000","1,200","1,800",**,"5,800","1,200",**,**,**,"2,400",500,"4,700",**,"1,600",**,"1,800",**,900,600,**,**,"1,300","4,600","1,700",**,"7,000",**,**,**,**,**,**,**
Alabama,01005,Barbour AL,"8,600","1,300",15%,"1,200",**,**,**,**,100,600,400,100,600,600,100,500,100,400,700,**,**,**,500,100,700,**,0,100,200,100,100,200,**,**,200,900,100,**,"1,200",**,**,**,**,**,**,**
Alabama,01007,Bibb AL,"8,100","1,500",19%,"1,400",**,100,**,**,100,"1,000",200,200,800,700,100,500,**,500,"1,000",**,**,**,700,200,700,**,0,200,100,100,100,300,**,**,300,"1,200",100,**,"1,500",**,**,**,**,**,**,**
Alabama,01009,Blount AL,"14,800","3,500",24%,"3,500",**,**,**,**,500,"1,500","1,000",500,"2,300","1,200",200,600,500,"2,000",900,**,**,**,"1,500",500,"1,000",**,300,200,300,100,200,**,**,200,"1,000","2,500",**,500,"3,000",500,**,**,**,**,**,**
Alabama,01011,Bullock AL,"3,400",500,15%,500,**,**,**,**,0,300,200,0,200,300,0,200,0,200,300,**,**,**,200,0,300,**,0,100,100,0,0,100,**,**,100,400,0,**,500,**,**,**,**,**,**,**
Alabama,01013,Butler AL,"5,600","1,200",21%,"1,100",**,100,**,**,200,600,200,200,500,700,100,400,0,600,400,**,**,**,600,100,600,**,100,100,100,0,100,100,**,**,400,800,0,0,"1,200",0,**,**,**,**,**,**
Alabama,01015,Calhoun AL,"31,700","5,800",18%,"5,700",**,**,**,**,200,"1,900","2,500","1,200","3,600","2,200",900,"1,500",300,"3,900","1,300",**,**,**,"2,200","1,000","3,700",**,400,"1,000",800,800,**,"1,200",**,**,"1,200","4,200",**,100,"5,700",100,**,**,**,**,**,**
Alabama,01017,Chambers AL,"9,400","1,300",14%,"1,300",**,**,**,**,**,700,400,200,800,500,300,200,0,600,700,**,**,**,600,400,400,**,100,300,200,100,**,**,**,**,600,700,**,**,"1,300",**,**,**,**,**,**,**
Alabama,01019,Cherokee AL,"7,200","1,800",26%,"1,800",**,**,**,**,100,800,500,400,"1,100",700,300,400,100,"1,100",700,**,**,**,500,300,"1,000",**,200,200,200,100,300,300,0,100,600,"1,200",**,**,"1,800",**,**,**,**,**,**,**
Alabama,01021,Chilton AL,"12,000","1,700",14%,"1,700",**,**,**,**,**,800,500,300,"1,100",600,300,200,0,800,800,**,**,**,700,500,500,**,100,400,200,100,**,**,**,**,800,900,**,**,"1,700",**,**,**,**,**,**,**
Alabama,01023,Choctaw AL,"4,600","1,000",23%,"1,000",**,**,**,**,100,300,400,200,600,400,100,300,**,400,600,**,**,**,300,100,200,**,100,0,100,**,100,100,0,100,200,700,100,**,"1,000",**,**,**,**,**,**,**
Alabama,01025,Clarke AL,"8,500","1,900",23%,"1,900",**,**,**,**,200,600,800,300,"1,200",700,100,500,**,800,"1,100",**,**,**,600,200,500,**,100,100,100,**,200,300,100,100,400,"1,400",100,**,"1,900",**,**,**,**,**,**,**
Alabama,01027,Clay AL,"3,900","1,000",26%,"1,000",**,**,**,**,0,400,300,200,600,400,100,200,0,600,400,**,**,**,300,200,500,**,100,100,100,100,100,200,0,100,300,700,**,**,"1,000",**,**,**,**,**,**,**
Alabama,01029,Cleburne AL,"4,200","1,100",26%,"1,000",**,**,**,**,100,500,300,200,700,400,200,200,0,600,400,**,**,**,300,200,600,**,100,100,100,100,200,200,0,100,300,700,**,**,"1,100",**,**,**,**,**,**,**
Alabama,01031,Coffee AL,"13,500","2,800",21%,"2,600",**,200,**,**,500,"1,400",500,400,"1,200","1,600",300,"1,000",100,"1,500","1,100",**,**,**,"1,400",300,"1,500",**,200,200,200,100,100,300,**,**,800,"1,900",100,0,"2,800",0,**,**,**,**,**,**
Alabama,01033,Colbert AL,"14,400","2,300",16%,"2,100",100,**,**,**,500,700,700,400,900,"1,400",400,900,200,"1,700",400,**,**,**,"1,200",500,"1,600",**,200,**,200,200,400,400,**,**,700,"1,400",200,**,"2,300",**,**,**,**,**,**,**
Alabama,01035,Conecuh AL,"4,300","1,000",23%,"1,000",**,**,**,**,100,300,400,100,600,400,100,300,**,400,600,**,**,**,300,100,200,**,100,0,100,**,100,100,0,100,200,700,100,**,"1,000",**,**,**,**,**,**,**
Alabama,01037,Coosa AL,"3,200",500,14%,400,**,**,**,**,**,200,100,100,300,200,100,100,0,200,200,**,**,**,200,100,100,**,0,100,100,0,**,**,**,**,200,200,**,**,400,**,**,**,**,**,**,**
