State Name,FIPS Code,County Name,Total Non-Elderly Population (Excluding Undocumented),Uninsured Population (Excluding Undocumented),Percent Uninsured,HIU Income < 100% FPL,HIU Income 100-138% FPL,HIU Income 139-249% FPL,HIU Income 250-400% FPL,HIU Income 400% FPL,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,Married,Child in Family,Spanish/Hispanic/Latino Origin,White Non-Latino,Black Non-Latino,Asian / Native-Hawaiian / Pac Islander,American Indian / Alaska Native,Multi-racial or Other,SNAP Recipient,With a disability,Full-time Worker in Family,Employed in Agriculture Industry,Employed in Mining/Construction Industry,Employed in Manufacturing Industry,Employed in Trade Industry,Employed in Info/Finance Industry,Employed in Education/Health Industry,Employed in Entertainment Industry,Employed in Service Industry,Employed in Military/Public Industry,Less than High School,High School Diploma,College Grad,No English Speaking Adults in HH,English Spoken in HH,Spanish Spoken in HH,Chinese Spoken in HH,Korean Spoken in HH,Vietnamese Spoken in HH,Tagalog Spoken in HH,Russian Spoken in HH,Other Language Spoken in HH
Alabama,01001,Autauga AL,"46,000","4,300",9%,"2,300",700,600,500,300,200,"1,600","1,500","1,100","2,800","1,600","1,300","1,200",200,"2,500","1,600",**,**,0,700,900,"2,600",**,300,400,600,300,300,500,100,100,"1,000","3,000",300,100,"4,200",100,**,**,**,**,**,**
Alabama,01003,Baldwin AL,"171,200","15,600",9%,"7,000","1,800","2,400","2,200","2,100","1,000","6,100","4,000","4,500","7,300","8,300","3,900","3,700","1,100","12,700","1,600",**,**,**,"3,500",800,"12,000",300,"2,500",700,"3,400","2,200","1,600","1,500",**,**,"2,500","10,600","2,500",600,"14,800",600,**,**,**,**,**,**
Alabama,01005,Barbour AL,"22,100","2,700",12%,"1,200",300,500,600,100,100,"1,300",800,400,"1,300","1,400",400,"1,000",300,900,"1,500",**,**,**,800,100,"2,100",100,200,200,300,300,300,500,200,**,500,"2,000",100,100,"2,500",200,**,**,**,**,**,**
Alabama,01007,Bibb AL,"16,800","2,700",16%,"1,400",400,300,300,300,100,"1,500",700,400,"1,300","1,400",700,900,0,"1,000","1,700",**,**,**,"1,000",300,"1,700",**,100,300,300,200,200,600,200,100,500,"2,000",200,**,"2,600",**,**,**,**,**,**,**
Alabama,01009,Blount AL,"49,500","6,400",13%,"3,500",600,700,900,600,500,"2,600","2,300","1,000","3,800","2,600","1,500","1,700",800,"4,300","1,100",**,**,**,"2,000",900,"3,700",**,"1,000",600,600,400,700,200,400,200,"1,600","4,500",300,600,"5,800",600,**,**,**,**,**,**
Alabama,01011,Bullock AL,"8,800","1,100",12%,500,100,200,200,0,0,500,300,200,500,600,200,400,100,400,600,**,**,**,300,0,800,0,100,100,100,100,100,200,100,**,200,800,0,100,"1,000",100,**,**,**,**,**,**
Alabama,01013,Butler AL,"16,600","2,400",14%,"1,100",200,700,200,200,200,"1,100",500,600,"1,200","1,200",400,700,100,"1,500",800,**,**,**,800,300,"1,700",0,200,300,300,300,100,300,100,0,600,"1,800",100,0,"2,400",0,**,**,**,**,**,**
Alabama,01015,Calhoun AL,"91,900","11,300",12%,"5,700","1,800","2,300","1,100",500,200,"4,100","4,300","2,700","6,700","4,700","3,600","3,500",300,"6,700","3,500",**,**,**,"3,700","2,000","8,600",**,"1,200","1,800","2,400","1,000",600,"1,300",300,**,"2,500","8,200",600,100,"11,300",100,**,**,**,**,**,**
Alabama,01017,Chambers AL,"26,200","3,200",12%,"1,300",100,700,500,600,100,"1,400",800,900,"2,000","1,200","1,200",600,200,"2,100",900,**,**,**,800,600,"2,200",100,300,800,500,300,200,200,100,100,800,"2,400",100,**,"3,200",**,**,**,**,**,**,**
Alabama,01019,Cherokee AL,"20,600","3,100",15%,"1,800",100,600,200,300,200,"1,200","1,000",700,"1,900","1,200",600,800,100,"2,000",900,**,**,0,700,700,"2,200",**,400,400,600,300,300,400,0,200,800,"2,200",100,0,"3,100",0,**,**,**,**,**,**
Alabama,01021,Chilton AL,"33,400","4,100",12%,"1,700",100,900,600,800,100,"1,800","1,000","1,200","2,600","1,500","1,500",800,200,"2,700","1,200",**,**,**,"1,100",700,"2,800",100,400,"1,000",700,400,300,200,100,100,"1,000","3,000",100,**,"4,100",**,**,**,**,**,**,**
Alabama,01023,Choctaw AL,"10,100","1,500",14%,"1,000",100,200,100,0,100,500,500,300,900,600,200,400,**,700,700,**,0,**,400,200,600,**,200,100,100,0,200,200,100,100,300,"1,100",100,**,"1,400",**,**,**,**,**,**,**
Alabama,01025,Clarke AL,"18,800","2,700",14%,"1,900",200,400,200,100,300,800,"1,000",600,"1,600","1,100",400,700,**,"1,300","1,400",**,0,**,700,300,"1,100",**,300,100,200,100,300,300,200,100,600,"2,000",200,**,"2,700",**,**,**,**,**,**,**
Alabama,01027,Clay AL,"11,000","1,600",15%,"1,000",100,300,100,200,100,600,500,400,"1,000",600,300,400,0,"1,100",500,**,**,0,400,400,"1,200",**,200,200,300,200,100,200,0,100,400,"1,200",0,0,"1,600",0,**,**,**,**,**,**
Alabama,01029,Cleburne AL,"11,900","1,800",15%,"1,000",100,400,100,200,100,700,600,400,"1,100",700,400,500,0,"1,200",500,**,**,0,400,400,"1,300",**,200,200,300,200,200,200,0,100,500,"1,300",0,0,"1,800",0,**,**,**,**,**,**
