State Name,FIPS Code,County Name,Total Non-Elderly Population (Excluding Undocumented),Uninsured Population (Excluding Undocumented),Percent Uninsured,HIU Income < 100% FPL,HIU Income 100-138% FPL,HIU Income 139-249% FPL,HIU Income 250-400% FPL,HIU Income 400% FPL,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,Married,Child in Family,Spanish/Hispanic/Latino Origin,White Non-Latino,Black Non-Latino,Asian / Native-Hawaiian / Pac Islander,American Indian / Alaska Native,Multi-racial or Other,SNAP Recipient,With a disability,Full-time Worker in Family,Employed in Agriculture Industry,Employed in Mining/Construction Industry,Employed in Manufacturing Industry,Employed in Trade Industry,Employed in Info/Finance Industry,Employed in Education/Health Industry,Employed in Entertainment Industry,Employed in Service Industry,Employed in Military/Public Industry,Less than High School,High School Diploma,College Grad,No English Speaking Adults in HH,English Spoken in HH,Spanish Spoken in HH,Chinese Spoken in HH,Korean Spoken in HH,Vietnamese Spoken in HH,Tagalog Spoken in HH,Russian Spoken in HH,Other Language Spoken in HH
Alabama,01001,Autauga AL,"14,700",300,2%,**,**,**,**,300,100,**,100,100,100,200,100,**,**,200,**,**,**,**,**,100,300,**,**,**,**,**,**,**,100,**,**,100,100,**,300,**,**,**,**,**,**,**
Alabama,01003,Baldwin AL,"63,900","2,100",3%,**,**,**,**,"2,100",**,"1,000",**,700,500,"1,700",700,**,**,"2,100",**,**,**,**,**,**,"2,000",**,**,**,**,400,**,**,**,**,**,"1,600",**,**,"2,100",**,**,**,**,**,**,**
Alabama,01005,Barbour AL,"5,300",100,1%,**,**,**,**,100,**,100,**,**,100,**,**,**,100,**,**,**,**,**,**,**,100,**,**,**,**,**,**,**,**,**,**,0,**,**,100,**,**,**,**,**,**,**
Alabama,01007,Bibb AL,"2,700",300,9%,**,**,**,**,300,**,100,100,**,100,100,100,**,**,200,**,**,**,**,**,**,300,**,**,**,**,**,**,**,**,**,**,200,**,**,300,**,**,**,**,**,**,**
Alabama,01009,Blount AL,"15,700",600,4%,**,**,**,**,600,**,**,500,**,300,300,300,200,**,600,**,**,**,**,**,**,600,**,**,**,**,**,**,**,**,**,**,400,**,**,600,**,**,**,**,**,**,**
Alabama,01011,Bullock AL,"2,100",0,1%,**,**,**,**,0,**,0,**,**,0,**,**,**,0,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,**,**,0,**,**,**,**,**,**,**
Alabama,01013,Butler AL,"4,200",200,5%,**,**,**,**,200,**,100,100,100,100,100,0,**,**,200,**,**,**,**,0,100,200,**,**,0,100,**,**,**,**,**,**,100,**,**,200,**,**,**,**,**,**,**
Alabama,01015,Calhoun AL,"23,500",500,2%,**,**,**,**,500,**,**,**,**,**,500,500,**,**,500,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,500,**,**,**,**,**,**,**
Alabama,01017,Chambers AL,"5,900",600,10%,**,**,**,**,600,**,100,**,400,300,300,500,200,**,600,0,**,**,**,0,100,600,**,**,300,100,**,100,**,**,**,**,500,**,**,600,**,**,**,**,**,**,**
Alabama,01019,Cherokee AL,"5,100",300,6%,**,**,**,**,300,100,**,100,100,200,100,200,200,**,300,**,**,**,**,0,0,300,**,100,0,**,100,**,**,**,**,0,300,**,**,300,**,**,**,**,**,**,**
Alabama,01021,Chilton AL,"7,600",800,10%,**,**,**,**,800,**,200,**,400,300,400,700,200,**,700,100,**,**,**,0,100,800,**,**,300,100,**,200,**,**,**,**,600,**,**,800,**,**,**,**,**,**,**
Alabama,01023,Choctaw AL,"2,100",0,2%,**,**,**,**,0,**,**,**,**,0,**,**,**,**,0,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,**,**,0,**,**,**,**,**,**,**
